Date,BTC-USD,ETH-USD,LTC-USD
2017-11-09,7143.580078125,320.8840026855469,64.26969909667969
2017-11-10,6618.14013671875,299.25299072265625,59.260101318359375
2017-11-11,6357.60009765625,314.6809997558594,62.30329895019531
2017-11-12,5950.06982421875,307.9079895019531,59.005401611328125
2017-11-13,6559.490234375,316.71600341796875,61.39649963378906
2017-11-14,6635.75,337.6310119628906,62.67959976196289
2017-11-15,7315.5400390625,333.35699462890625,63.82360076904297
2017-11-16,7871.68994140625,330.92401123046875,71.0602035522461
2017-11-17,7708.990234375,332.3940124511719,67.56900024414062
2017-11-18,7790.14990234375,347.61199951171875,69.6436996459961
2017-11-19,8036.490234375,354.385986328125,71.58930206298828
2017-11-20,8200.6396484375,366.7300109863281,72.25279998779297
2017-11-21,8071.259765625,360.4010009765625,70.0282974243164
2017-11-22,8253.5498046875,380.6520080566406,71.8927993774414
2017-11-23,8038.77001953125,410.1659851074219,73.22339630126953
2017-11-24,8253.6904296875,474.9110107421875,77.96829986572266
2017-11-25,8790.919921875,466.2760009765625,88.81690216064453
2017-11-26,9330.5498046875,471.3299865722656,85.92680358886719
2017-11-27,9818.349609375,480.3550109863281,91.60269927978516
2017-11-28,10058.7998046875,472.9020080566406,96.03379821777344
2017-11-29,9888.6103515625,427.5230102539063,85.57099914550781
2017-11-30,10233.599609375,447.114013671875,88.33070373535156
2017-12-01,10975.599609375,466.5400085449219,99.00370025634766
2017-12-02,11074.599609375,463.4490051269531,100.28399658203124
2017-12-03,11323.2001953125,465.8529968261719,101.26300048828124
2017-12-04,11657.2001953125,470.2040100097656,104.23600006103516
2017-12-05,11916.7001953125,463.281005859375,102.39700317382812
2017-12-06,14291.5,428.5880126953125,100.35199737548828
2017-12-07,17899.69921875,434.4079895019531,98.29239654541016
2017-12-08,16569.400390625,456.031005859375,124.84600067138672
2017-12-09,15178.2001953125,473.50201416015625,155.24200439453125
2017-12-10,15455.400390625,441.7210083007813,148.66000366210938
2017-12-11,16936.80078125,515.135986328125,214.2030029296875
2017-12-12,17415.400390625,651.4310302734375,316.15899658203125
2017-12-13,16408.19921875,702.7670288085938,302.6019897460937
2017-12-14,16564.0,695.8159790039062,279.3280029296875
2017-12-15,17706.900390625,684.447998046875,299.77899169921875
2017-12-16,19497.400390625,696.208984375,298.97198486328125
2017-12-17,19140.80078125,719.9749755859375,318.718994140625
2017-12-18,19114.19921875,794.64501953125,358.33599853515625
2017-12-19,17776.69921875,826.822998046875,350.25299072265625
2017-12-20,16624.599609375,819.0859985351562,314.6210021972656
2017-12-21,15802.900390625,821.06298828125,317.4620056152344
2017-12-22,13831.7998046875,674.8599853515625,264.9320068359375
2017-12-23,14699.2001953125,719.3870239257812,288.2659912109375
2017-12-24,13925.7998046875,694.1480102539062,275.9800109863281
2017-12-25,14026.599609375,765.833984375,273.3900146484375
2017-12-26,16099.7998046875,773.8359985351562,286.5039978027344
2017-12-27,15838.5,762.8419799804688,272.17401123046875
2017-12-28,14606.5,737.0230102539062,249.92999267578125
2017-12-29,14656.2001953125,753.5919799804688,245.5019989013672
2017-12-30,12952.2001953125,717.2570190429688,218.96299743652344
2017-12-31,14156.400390625,756.7329711914062,232.0959930419922
2018-01-01,13657.2001953125,772.6409912109375,229.0330047607422
2018-01-02,14982.099609375,884.4439697265625,255.6840057373047
2018-01-03,15201.0,962.719970703125,245.3679962158203
2018-01-04,15599.2001953125,980.9219970703124,241.3699951171875
2018-01-05,17429.5,997.719970703125,249.27099609375
2018-01-06,17527.0,1041.6800537109375,296.4540100097656
2018-01-07,16477.599609375,1153.1700439453125,288.45098876953125
2018-01-08,15170.099609375,1148.530029296875,255.76300048828125
2018-01-09,14595.400390625,1299.739990234375,247.03700256347656
2018-01-10,14973.2998046875,1255.8199462890625,250.51800537109372
2018-01-11,13405.7998046875,1154.9300537109375,229.36599731445312
2018-01-12,13980.599609375,1273.199951171875,236.8560028076172
2018-01-13,14360.2001953125,1396.4200439453125,259.1929931640625
2018-01-14,13772.0,1366.77001953125,238.6750030517578
2018-01-15,13819.7998046875,1291.9200439453125,232.7740020751953
2018-01-16,11490.5,1053.68994140625,188.33099365234372
2018-01-17,11188.599609375,1014.25,186.51600646972656
2018-01-18,11474.900390625,1036.280029296875,192.8370056152344
2018-01-19,11607.400390625,1039.0999755859375,192.9640045166016
2018-01-20,12899.2001953125,1155.1500244140625,211.01800537109372
2018-01-21,11600.099609375,1049.5799560546875,190.42100524902344
2018-01-22,10931.400390625,1003.260009765625,180.00799560546875
2018-01-23,10868.400390625,986.22900390625,177.8070068359375
2018-01-24,11359.400390625,1058.780029296875,179.98699951171875
2018-01-25,11259.400390625,1056.030029296875,180.27200317382807
2018-01-26,11171.400390625,1055.1700439453125,176.73399353027344
2018-01-27,11440.7001953125,1107.0699462890625,180.8860015869141
2018-01-28,11786.2998046875,1246.010009765625,193.8650054931641
2018-01-29,11296.400390625,1182.3599853515625,181.66400146484372
2018-01-30,10106.2998046875,1071.1300048828125,165.2760009765625
2018-01-31,10221.099609375,1118.31005859375,163.3509979248047
2018-02-01,9170.5400390625,1036.7900390625,142.2969970703125
2018-02-02,8830.75,915.7849731445312,131.37899780273438
2018-02-03,9174.91015625,964.0189819335938,160.25
2018-02-04,8277.009765625,834.6820068359375,148.02499389648438
2018-02-05,6955.27001953125,697.9509887695312,125.33000183105467
2018-02-06,7754.0,793.1220092773438,142.99099731445312
2018-02-07,7621.2998046875,757.0679931640625,138.2030029296875
2018-02-08,8265.58984375,817.8070068359375,149.46600341796875
